"","classe","x","n","nMx","nkx","nqx","lx","ndx","nLx","Tx","ex"
"1","0-1",0,1,0.0132273977386825,0.157906295875185,0.0130816846683345,1e+05,1308.16846683345,100206.568036978,8199537.36293398,81.9953736293398
"2","1-4",1,4,0.000724630388180473,0.897569444444444,0.00289201995795023,98691.8315331666,285.41874648058,395023.509278379,8099330.794897,82.0668810080308
"3","5-9",5,5,0.000458398340115484,1.64620938628159,0.00228847346543353,98406.412786686,225.200464490829,492402.79105187,7704307.28561862,78.2907034963171
"4","10-14",10,5,0.000335668091391232,2.3840830449827,0.00167686803292278,98181.2123221951,164.636936376693,491298.569739569,7211904.49456676,73.4550360908144
"5","15-19",15,5,0.000572233471256273,1.98681318681319,0.00285624249059323,98016.5753858185,279.959107399409,490639.103375442,6720605.92482719,68.5660144559545
"6","20-24",20,5,0.00047155723918955,1.9741550695825,0.00235442676074222,97736.6162784191,230.113704870303,489137.361529145,6229966.82145174,63.7424033967438
"7","25-29",25,5,0.000876711358282708,2.10035211267606,0.00437244137105243,97506.5025735487,426.341465799214,488427.980066157,5740829.4599226,58.876375507288
"8","30-34",30,5,0.000946263692148879,2.07516339869281,0.00471825989005305,97080.1611077495,458.049430274583,486351.332951246,5252401.47985644,54.1037573477735
"9","35-39",35,5,0.00132050179068046,2.08203677510608,0.00657716597752217,96622.111677475,635.499665601435,484433.692061725,4766050.1469052,49.3267023889345
"10","40-44",40,5,0.00161109554497058,2.08530805687204,0.00801782723325318,95986.6120118735,769.604071816506,481537.921630928,4281616.45484347,44.6063921322052
"11","45-49",45,5,0.00297606022145389,2.10956175298805,0.014753390695337,95217.007940057,1404.77371898066,479048.496609449,3800078.53321254,39.9096612614088
"12","50-54",50,5,0.0033016188582789,2.08681408681409,0.0163508282717661,93812.2342210763,1533.90773153952,472262.151367431,3321030.03660309,35.4008202040771
"13","55-59",55,5,0.00670059177047595,2.0960219478738,0.0328634888790322,92278.3264895368,3032.58775636459,467748.002943878,2848767.88523566,30.8714732224655
"14","60-64",60,5,0.00964490528876789,2.07326236693801,0.0469006109661783,89245.7387331722,4185.6796727137,454906.705811356,2381019.88229179,26.679367733294
"15","65-69",65,5,0.0150326289620883,1.98590814196242,0.0719051426046125,85060.0590604585,6116.25567669903,437446.617248973,1926113.17648043,22.6441551740682
"16","70-74",70,5,0.0214808787632221,2.04218362282878,0.100987972035619,78943.8033837595,7972.37460850449,411000.069779341,1488666.55923146,18.8572946250739
"17","75-79",75,5,0.0367124943344916,1.97280701754386,0.165202552928687,70971.428775255,11724.6612186686,377987.637806789,1077666.48945212,15.1845116837757
"18","80-84",80,5,0.0600154878678369,2.04753282028067,0.254909132203385,59246.7675565864,15102.5421037051,327156.788409939,699678.851645326,11.8095700491519
"19","85-89",85,5,0.0909539068277052,1.79086021505376,0.352020463285887,44144.2254528813,15539.6706953199,248550.505267692,372522.063235387,8.43874956268086
"20","90+",90,NA,0.171137136380808,4.33397964129908,1,28604.5547575614,28604.5547575614,123971.557967696,123971.557967696,4.33397964129908
