Faixa Etária detalhada;Masculino;Feminino;Total
0 a 4 anos;39189;37898;77087
5 a 9 anos;35845;35442;71287
10 a 14 anos;34383;33694;68077
15 a 19 anos;33570;33288;66858
20 a 24 anos;28196;28386;56582
25 a 29 anos;21949;22423;44372
30 a 34 anos;18780;18843;37623
35 a 39 anos;15389;15581;30970
40 a 44 anos;13005;12798;25803
45 a 49 anos;10387;10053;20440
50 a 54 anos;8030;7594;15624
55 a 59 anos;6164;6235;12399
60 a 64 anos;5034;4621;9655
65 a 69 anos;3891;3396;7287
70 a 74 anos;3076;2663;5739
75 a 79 anos;2036;1677;3713
80 anos e mais;2059;1951;4010
Total;280983;276543;557526
